archive_name,datetime,product,product_code,data_units
SNODAS_20031008.tar,2003-10-08,"Modeled snowpack sublimation rate, 24-hour total",94873301  ,Meters / 100000.000000
SNODAS_20031008.tar,2003-10-08,"Snow accumulation, 24-hour total",94873677  ,Kilograms per square meter / 10.000000
SNODAS_20031008.tar,2003-10-08,"Modeled blowing snow sublimation rate, 24-hour total",94873725  ,Meters / 100000.000000
SNODAS_20031008.tar,2003-10-08,"Modeled melt rate, bottom of snow layers, 24-hour total",94873234  ,Meters / 100000.000000
SNODAS_20031008.tar,2003-10-08,"Modeled snow layer thickness, total of snow layers",94875148  ,Meters / 1000.000000
SNODAS_20031008.tar,2003-10-08,"Modeled snow water equivalent, total of snow layers",94877040  ,Meters / 1000.000000
SNODAS_20040410.tar,2004-04-10,"Modeled snow water equivalent, total of snow layers",116588777 ,Meters / 1000.000000
SNODAS_20040410.tar,2004-04-10,"Modeled melt rate, bottom of snow layers, 24-hour total",116587517 ,Meters / 100000.000000
SNODAS_20040410.tar,2004-04-10,"Snow accumulation, 24-hour total",116587933 ,Kilograms per square meter / 10.000000
SNODAS_20040410.tar,2004-04-10,"Modeled average temperature, SWE-weighted average of snow layers, 24-hour average",116588156 ,Kelvins
SNODAS_20040410.tar,2004-04-10,"Non-snow accumulation, 24-hour total",116588128 ,Kilograms per square meter / 10.000000
SNODAS_20040410.tar,2004-04-10,"Modeled blowing snow sublimation rate, 24-hour total",116587784 ,Meters / 100000.000000
SNODAS_20040410.tar,2004-04-10,"Modeled snowpack sublimation rate, 24-hour total",116587643 ,Meters / 100000.000000
SNODAS_20040410.tar,2004-04-10,"Modeled snow layer thickness, total of snow layers",116654318 ,Meters / 1000.000000
SNODAS_20040206.tar,2004-02-06,"Modeled snowpack sublimation rate, 24-hour total",108982663 ,Meters / 100000.000000
SNODAS_20040206.tar,2004-02-06,"Modeled blowing snow sublimation rate, 24-hour total",108982723 ,Meters / 100000.000000
SNODAS_20040206.tar,2004-02-06,"Non-snow accumulation, 24-hour total",108980953 ,Kilograms per square meter / 10.000000
SNODAS_20040206.tar,2004-02-06,"Snow accumulation, 24-hour total",108980935 ,Kilograms per square meter / 10.000000
SNODAS_20040206.tar,2004-02-06,"Modeled melt rate, bottom of snow layers, 24-hour total",108982597 ,Meters / 100000.000000
SNODAS_20040206.tar,2004-02-06,"Modeled snow layer thickness, total of snow layers",108981107 ,Meters / 1000.000000
